Company,BBG ticker,Date,Reason,Type,Industry,MarketCapUSD,1M_TR,3M_TR,6M_TR,12M_TR,24M_TR,1M_SXXP,3M_SXXP,6M_SXXP,12M_SXXP,24M_SXXP,1M_ALPHA,3M_ALPHA,6M_ALPHA,12M_ALPHA,24M_ALPHA
CareTech Holdings PLC (AIM:CTH),CTH LN,14-Jun-12,Not explained,Big4 to non-Big4,"Consumer, Non-cyclical",#N/A N/A,0.111,0.143,0.184,0.217,1.053,0.062,0.148,0.167,0.247,0.535,0.049,-0.004,0.016,-0.03,0.518
Frontier Developments plc (AIM:FDEV),FDEV LN,30-Oct-19,Not explained,Non-Big4 to Big4,Technology,541,,,,,,,,,,,,,,,
Highland Gold Mining Limited (AIM:HGM),HGM LN,18-Jun-12,Not explained,Big4 to Big4,Basic Materials,948,0.095,0.256,-0.023,-0.24,-0.211,0.061,0.126,0.159,0.242,0.515,0.034,0.13,-0.182,-0.481,-0.726
IQE plc (AIM:IQE),IQE LN,12-Feb-18,Tender,Big4 to Big4,Technology,749,0.348,0.181,0.017,-0.384,,0.02,0.07,0.062,0.007,,0.328,0.111,-0.045,-0.39,
Alpha Bank A.E. (ATSE:ALPHA),ALPHA GA,30-Jun-17,Not explained,Big4 to Big4,Financial,2774,-0.023,-0.227,-0.173,-0.113,-0.185,-0.002,0.028,0.034,0.035,0.087,-0.021,-0.254,-0.207,-0.149,-0.272
Alpha Bank A.E. (ATSE:ALPHA),ALPHA GA,23-Jun-10,Not explained,Big4 to Big4,Financial,5068,0.146,0.043,-0.08,-0.276,-0.715,0.007,0.031,0.117,0.075,0.044,0.139,0.013,-0.197,-0.351,-0.759
National Bank of Greece S.A. (ATSE:ETE),ETE GA,05-Jul-17,Not explained,Big4 to Big4,Financial,2358,0.045,-0.215,-0.096,-0.238,-0.299,0,0.025,0.046,0.03,0.092,0.045,-0.24,-0.142,-0.268,-0.391
National Bank of Greece S.A. (ATSE:ETE),ETE GA,21-May-10,Not explained,Big4 to Big4,Financial,15746,-0.032,-0.034,-0.207,-0.477,-0.859,0.094,0.072,0.151,0.22,0.091,-0.126,-0.106,-0.358,-0.697,-0.95
Eurobank Ergasias S.A. (ATSE:EUROB),EUROB GA,10-Jul-18,Tender,Big4 to Big4,Financial,2065,-0.044,-0.42,-0.368,-0.029,,0.001,-0.046,-0.089,0.039,,-0.045,-0.374,-0.28,-0.069,
Hellenic Telecommunications Organization S.A. (ATSE:HTO),HTO GA,23-Jun-11,Not explained,Big4 to Big4,Communications,5481,-0.022,-0.479,-0.562,-0.649,-0.084,0.03,-0.177,-0.075,-0.029,0.144,-0.053,-0.301,-0.488,-0.62,-0.228
Davide Campari-Milano S.p.A. (BIT:CPR),CPR IM,19-Dec-17,Mandatory rotation,Big4 to Big4,"Consumer, Non-cyclical",8161,-0.025,-0.061,0.084,0.199,,0.026,-0.039,0.005,-0.097,,-0.051,-0.022,0.08,0.296,
Enel SpA (BIT:ENEL),ENEL IM,02-May-11,Not explained,Big4 to Big4,Utilities,47006,-0.015,-0.16,-0.294,-0.463,-0.296,-0.022,-0.082,-0.148,-0.057,0.134,0.007,-0.078,-0.147,-0.406,-0.431
Recordati Industria Chimica e Farmaceutica S.p.A. (BIT:REC),REC IM,13-Apr-11,Not explained,Big4 to Big4,"Consumer, Non-cyclical",#N/A N/A,0.075,0.072,-0.047,-0.17,0.169,0.019,-0.012,-0.129,-0.053,0.135,0.057,0.084,0.083,-0.116,0.034
Snam S.p.A. (BIT:SRG),SRG IM,25-Apr-18,Previous dismissed,Big4 to Big4,Utilities,16749,-0.064,-0.025,-0.029,0.228,,0.037,0.031,-0.049,0.062,,-0.101,-0.056,0.02,0.165,
Tenaris S.A. (BIT:TEN),TEN IM,01-Jun-11,Not explained,Big4 to Big4,Industrial,#N/A N/A,-0.049,-0.303,-0.17,-0.248,0.031,-0.011,-0.137,-0.133,-0.122,0.164,-0.038,-0.166,-0.037,-0.126,-0.133
Tenaris S.A. (BIT:TEN),TEN IM,02-Jun-10,Not explained,Big4 to Big4,Industrial,25530,-0.02,-0.061,0.164,0.147,-0.137,-0.031,0.057,0.117,0.158,0.031,0.011,-0.118,0.047,-0.011,-0.167
Telecom Italia S.p.A. (BIT:TIT),TIT IM,29-Mar-19,Not explained,Big4 to Big4,Communications,11660,-0.096,-0.134,-0.063,,,0.039,0.034,0.059,,,-0.134,-0.168,-0.121,,
Telecom Italia S.p.A. (BIT:TIT),TIT IM,29-Apr-10,Tender,Big4 to Big4,Communications,30007,-0.03,0.007,0.102,0.076,-0.08,-0.057,-0.006,0.036,0.123,0.066,0.027,0.013,0.066,-0.047,-0.146
"Mapfre, S.A. (BME:MAP)",MAP SM,17-Mar-15,Not explained,Big4 to Big4,Financial,10482,0.109,-0.017,-0.178,-0.322,0.106,0.02,-0.018,-0.071,-0.114,0.018,0.088,0.001,-0.106,-0.207,0.088
"Naturgy Energy Group, S.A. (BME:NTGY)",NTGY SM,20-Apr-17,Not explained,Big4 to Big4,Utilities,18902,0.082,0.037,-0.034,0.085,0.418,0.044,0.03,0.051,0.044,0.105,0.038,0.008,-0.085,0.041,0.313
"Banco Santander, S.A. (BME:SAN)",SAN SM,06-Jul-15,Mandatory rotation,Big4 to Big4,Financial,105846,0.028,-0.159,-0.297,-0.436,0.061,0.059,-0.044,-0.057,-0.128,0.076,-0.032,-0.115,-0.24,-0.308,-0.014
"Telefónica, S.A. (BME:TEF)",TEF SM,12-May-16,Not explained,Big4 to Big4,Communications,55785,-0.04,0.001,-0.08,0.155,0.002,0.006,0.05,0.027,0.228,0.259,-0.046,-0.049,-0.107,-0.072,-0.257
Ambu A/S (CPSE:AMBU B),AMBUB DC,13-Dec-17,Not explained,Big4 to Big4,"Consumer, Non-cyclical",3671,0.167,0.23,1.108,0.494,,0.021,-0.034,0.018,-0.075,,0.146,0.264,1.089,0.57,
Carlsberg A/S (CPSE:CARL B),CARLB DC,30-Mar-17,Tender,Big4 to Big4,"Consumer, Non-cyclical",13190,0.071,0.093,0.083,0.158,0.365,0.023,0.014,0.042,0.006,0.066,0.048,0.079,0.041,0.152,0.3
Danske Bank A/S (CPSE:DANSKE),DANSKE DC,18-Mar-15,Not explained,Big4 to Big4,Financial,27188,0.102,0.151,0.219,0.133,0.535,0.017,-0.02,-0.091,-0.114,0.015,0.085,0.171,0.31,0.248,0.52
FLSmidth & Co. A/S (CPSE:FLS),FLS DC,30-Mar-17,Not explained,Big4 to Big4,Industrial,2035,0.109,0.111,0.124,0.05,-0.182,0.023,0.014,0.042,0.006,0.066,0.086,0.097,0.082,0.043,-0.248
GN Store Nord A/S (CPSE:GN),GN DC,21-Mar-19,Previous reappointed,Big4 to Big4,"Consumer, Non-cyclical",4947,0.053,0.014,-0.099,,,0.031,0.031,0.059,,,0.022,-0.017,-0.158,,
ROCKWOOL International A/S (CPSE:ROCK B),ROCKB DC,10-Apr-14,Not explained,Big4 to Big4,Industrial,3900,0.03,-0.055,-0.201,-0.114,0.031,0.023,0.025,-0.016,0.279,0.062,0.007,-0.08,-0.185,-0.392,-0.031
SimCorp A/S (CPSE:SIM),SIM DC,01-Apr-14,Tender,Big4 to Big4,Technology,#N/A N/A,-0.042,-0.128,-0.2,0.094,0.453,0.012,0.042,0.033,0.224,0.056,-0.054,-0.17,-0.233,-0.13,0.397
Topdanmark A/S (CPSE:TOP),TOP DC,12-Apr-18,Not explained,Big4 to Big4,Financial,3718,0.102,0.13,0.035,0.297,,0.045,0.031,-0.032,0.06,,0.057,0.099,0.068,0.237,
Zealand Pharma A/S (CPSE:ZEAL),ZEAL DC,30-Apr-14,Not explained,Big4 to Big4,"Consumer, Non-cyclical",#N/A N/A,-0.045,0.098,-0.015,0.376,0.94,0.027,0.019,-0.005,0.209,0.079,-0.072,0.078,-0.01,0.166,0.861
Koninklijke Ahold Delhaize N.V. (ENXTAM:AD),AD NA,04-Oct-12,Not explained,Big4 to Big4,"Consumer, Non-cyclical",12137,-0.008,0.06,0.233,0.362,0.356,0.014,0.065,0.088,0.182,0.32,-0.022,-0.005,0.145,0.18,0.037
ASML Holding N.V. (ENXTAM:ASML),ASML NA,29-Apr-16,Previous reappointed,Big4 to Big4,Technology,43397,0.077,0.187,0.155,0.471,0.947,0.033,0.014,0.016,0.172,0.204,0.044,0.173,0.139,0.298,0.743
ASML Holding N.V. (ENXTAM:ASML),ASML NA,23-Apr-15,Not explained,Big4 to Big4,Technology,44254,0.012,-0.064,-0.143,-0.14,0.24,0.01,-0.011,-0.058,-0.116,-0.008,0.002,-0.053,-0.085,-0.024,0.248
ING Groep N.V. (ENXTAM:INGA),INGA NA,12-May-15,Tender,Big4 to Big4,Financial,56459,0.03,0.013,-0.038,-0.233,0.194,-0.012,-0.026,-0.047,-0.13,0.068,0.042,0.039,0.009,-0.103,0.125
Koninklijke Philips N.V. (ENXTAM:PHIA),PHIA NA,07-May-15,Not explained,Big4 to Big4,"Consumer, Non-cyclical",26720,0.004,0.054,0.051,-0.036,0.428,0.006,0.03,-0.01,-0.118,0.085,-0.002,0.024,0.061,0.082,0.343
PostNL N.V. (ENXTAM:PNL),PNL NA,14-Apr-15,Not explained,Big4 to Big4,Industrial,1654,-0.123,-0.159,-0.299,-0.205,-0.047,-0.025,-0.019,-0.119,-0.136,-0.01,-0.098,-0.14,-0.179,-0.069,-0.036
Royal Dutch Shell plc (ENXTAM:RDSA),RDSA LN,22-Apr-16,Resignation,Big4 to Big4,Energy,144117,-0.056,0.176,0.189,0.183,0.579,-0.021,-0.008,0.008,0.123,0.172,-0.035,0.184,0.181,0.06,0.408
The Unilever Group (ENXTAM:UNA),UNA NA,14-May-14,Not explained,Big4 to Big4,"Consumer, Non-cyclical",114467,0.023,-0.022,0.023,0.267,0.335,0.021,-0.022,-0.005,0.203,0.046,0.002,0,0.028,0.065,0.288
Van Lanschot Kempen N.V. (ENXTAM:VLK),VLK NA,13-May-15,Not explained,Big4 to Big4,Financial,863,0.053,0.235,0.152,-0.075,0.411,-0.01,-0.013,-0.054,-0.124,0.07,0.063,0.248,0.206,0.049,0.341
Anheuser-Busch InBev SA/NV (ENXTBR:ABI),ABI BB,27-Apr-16,Not explained,Big4 to Big4,"Consumer, Non-cyclical",199916,0.026,0.018,0.009,-0.057,-0.202,0.014,-0.002,0,0.153,0.182,0.011,0.02,0.009,-0.21,-0.384
ageas SA/NV (ENXTBR:AGS),AGS BB,16-May-18,Not explained,Big4 to Big4,Financial,#N/A N/A,0.029,0.057,0.049,0.082,,-0.005,-0.021,-0.078,0.01,,0.034,0.078,0.127,0.072,
argenx SE (ENXTBR:ARGX),ARGX BB,15-May-15,Not explained,Big4 to Big4,"Consumer, Non-cyclical",#N/A N/A,0.323,0.102,0,0.207,0.631,-0.03,-0.018,-0.057,-0.127,0.068,0.353,0.12,0.057,0.333,0.563
GIMV NV (ENXTBR:GIMB),GIMB BB,30-Jun-10,Not explained,Big4 to Big4,Financial,#N/A N/A,0.088,0.087,0.173,0.264,0.169,0.051,0.072,0.148,0.16,0.112,0.037,0.014,0.024,0.104,0.056
"Galp Energia, SGPS, S.A. (ENXTLS:GALP)",GALP PL,10-Aug-18,Tender,Big4 to Big4,Energy,15817,-0.073,-0.153,-0.232,-0.232,,-0.025,-0.049,-0.065,-0.001,,-0.047,-0.104,-0.167,-0.231,
"Galp Energia, SGPS, S.A. (ENXTLS:GALP)",GALP PL,30-May-11,Not explained,Big4 to Big4,Energy,17774,0.145,-0.066,-0.135,-0.3,-0.099,-0.018,-0.167,-0.127,-0.102,0.174,0.163,0.101,-0.008,-0.198,-0.273
L'Air Liquide S.A. (ENXTPA:AI),AI FP,12-May-16,Not explained,Big4 to Big4,Basic Materials,38625,0.01,0.052,0.057,0.272,0.354,0.006,0.05,0.027,0.228,0.259,0.005,0.002,0.029,0.044,0.095
Airbus SE (ENXTPA:AIR),AIR FP,12-Jul-16,Not explained,Big4 to Big4,Industrial,51618,-0.003,0.005,0.239,0.457,1.087,0.032,0.011,0.087,0.183,0.221,-0.035,-0.006,0.152,0.275,0.866
Argan SA (ENXTPA:ARG),AIR FP,24-Jun-16,Not explained,Non-Big4 to non-Big4,Industrial,51618,-0.014,0.033,0.207,0.481,1.001,0.058,0.077,0.128,0.244,0.277,-0.072,-0.045,0.079,0.237,0.724
Dassault Systèmes SE (ENXTPA:DSY),DSY FP,27-May-10,Not explained,Big4 to Big4,Technology,7005,0.085,0.022,0.151,0.266,0.609,0.017,0.033,0.101,0.18,0.066,0.067,-0.011,0.05,0.086,0.543
Devoteam SA (ENXTPA:DVT),DVT FP,19-May-11,Not explained,Big4 to Big4,"Consumer, Non-cyclical",263,-0.023,-0.182,-0.432,-0.452,-0.493,-0.041,-0.195,-0.158,-0.112,0.19,0.018,0.013,-0.274,-0.34,-0.683
Wendel (ENXTPA:MF),MF FP,16-May-19,Not explained,Big4 to Big4,Financial,5428,-0.028,0.006,0.017,,,-0.005,-0.025,0.076,,,-0.023,0.031,-0.059,,
Compagnie Générale des Établissements Michelin (ENXTPA:ML),ML FP,07-May-10,Not explained,Big4 to Big4,"Consumer, Cyclical",11321,0.091,0.275,0.16,0.388,0.178,0.03,0.102,0.163,0.226,0.154,0.06,0.173,-0.002,0.162,0.024
Imerys S.A. (ENXTPA:NK),NK FP,29-Apr-10,Previous reappointed,Big4 to Big4,Industrial,4539,-0.099,-0.052,-0.086,0.115,-0.052,-0.057,-0.006,0.036,0.123,0.066,-0.042,-0.046,-0.122,-0.008,-0.118
STMicroelectronics N.V. (ENXTPA:STM),STM FP,27-May-15,Previous reappointed,Big4 to Big4,Technology,8148,0.031,-0.132,-0.07,-0.24,1.117,-0.027,-0.108,-0.052,-0.114,0.024,0.058,-0.023,-0.018,-0.125,1.093
Vivendi SA (ENXTPA:VIV),VIV FP,25-Apr-17,Not explained,Big4 to Big4,Communications,23984,0.053,0.095,0.122,0.184,0.458,0.023,-0.003,0.018,0.016,0.079,0.031,0.098,0.104,0.169,0.379
Vivendi SA (ENXTPA:VIV),VIV FP,21-Apr-11,Not explained,Big4 to Big4,Communications,33406,0.016,-0.071,-0.156,-0.319,-0.052,0.007,-0.02,-0.13,-0.046,0.098,0.009,-0.051,-0.026,-0.273,-0.15
Ahlstrom-Munksjö Oyj (HLSE:AM1),AM1 FH,03-Apr-14,Not explained,Big4 to Big4,Basic Materials,#N/A N/A,-0.015,0.19,0.231,1.021,0.692,0.008,0.051,0.015,0.218,0.053,-0.023,0.139,0.217,0.802,0.64
Caverion Oyj (HLSE:CAV1V),CAV1V FH,26-Mar-18,Not explained,Big4 to Big4,"Consumer, Non-cyclical",886,0.172,-0.02,0.121,-0.127,,0.064,0.058,0.085,0.075,,0.108,-0.077,0.037,-0.202,
Cramo Oyj (HLSE:CRA1V),CRA1V FH,13-Apr-10,Not explained,Big4 to Big4,"Consumer, Non-cyclical",521,-0.081,-0.153,0.022,0.345,-0.211,-0.032,-0.03,0.013,0.072,0.014,-0.049,-0.123,0.009,0.273,-0.226
Elisa Oyj (HLSE:ELISA),ELISA FH,18-Mar-10,Not explained,Non-Big4 to Big4,Communications,3559,-0.031,-0.058,0.006,0.052,0.257,0.028,-0.003,0.03,0.06,0.12,-0.059,-0.055,-0.024,-0.007,0.137
Kemira Oyj (HLSE:KEMIRA),KEMIRA FH,21-Mar-12,Not explained,Big4 to Big4,Basic Materials,1809,-0.022,-0.063,0.078,0.125,0.155,-0.036,-0.055,0.055,0.14,0.312,0.014,-0.008,0.024,-0.015,-0.158
Lassila & Tikanoja Oyj (HLSE:LAT1V),LAT1V FH,15-Mar-12,Not explained,Big4 to Big4,Industrial,574,-0.029,-0.228,-0.02,0.177,0.414,-0.062,-0.079,0.047,0.14,0.278,0.033,-0.149,-0.067,0.037,0.136
Lassila & Tikanoja Oyj (HLSE:LAT1V),LAT1V FH,27-Jul-10,Not explained,Big4 to Big4,Industrial,626,0.006,0.031,0.041,-0.084,-0.171,-0.024,0.031,0.106,0.071,0.085,0.03,0,-0.065,-0.155,-0.256
Metsä Board Oyj (HLSE:METSB),METSB FH,23-Mar-11,Not explained,Big4 to Big4,Industrial,1129,0.112,-0.042,-0.486,-0.259,-0.178,0.032,-0.013,-0.188,0.011,0.163,0.08,-0.029,-0.298,-0.269,-0.341
Metso Corporation (HLSE:METSO),METSO FH,29-Mar-12,Tender,Big4 to Big4,Industrial,5556,0.057,-0.143,-0.121,0.049,0.062,0,-0.016,0.058,0.171,0.376,0.056,-0.128,-0.179,-0.122,-0.314
Neste Oyj (HLSE:NESTE),NESTE FH,04-Apr-14,Not explained,Big4 to Big4,Energy,5072,-0.038,-0.081,0.032,0.58,0.97,0.002,0.043,0.009,0.211,0.051,-0.04,-0.123,0.023,0.369,0.919
Nokia Corporation (HLSE:NOKIA),NOKIA FH,21-May-19,Tender,Big4 to Big4,Communications,31876,0.006,0.037,,,,0.018,-0.001,,,,-0.012,0.039,,,
Olvi Oyj (HLSE:OLVAS),OLVAS FH,11-Apr-13,Not explained,Big4 to Big4,"Consumer, Non-cyclical",538,0.082,0.215,0.221,0.189,0.176,0.044,0.023,0.079,0.153,0.495,0.038,0.193,0.141,0.037,-0.319
Orion Oyj (HLSE:ORNBV),ORNBV FH,20-Mar-18,Not explained,Big4 to Big4,"Consumer, Non-cyclical",5253,-0.014,-0.104,0.215,0.34,,0.023,0.043,0.043,0.05,,-0.036,-0.147,0.173,0.29,
Outotec Oyj (HLSE:OTE1V),OTE1V FH,23-Mar-12,Not explained,Big4 to Big4,Industrial,2150,-0.049,-0.111,-0.006,0.203,-0.212,-0.047,-0.051,0.066,0.151,0.327,-0.002,-0.06,-0.072,0.052,-0.538
Outokumpu Oyj (HLSE:OUT1V),OUT1V FH,21-Mar-17,Tender,Big4 to Big4,Basic Materials,3712,-0.013,-0.25,-0.084,-0.299,-0.59,0.012,0.053,0.042,0.031,0.084,-0.024,-0.303,-0.126,-0.33,-0.674
Ponsse Oyj (HLSE:PON1V),PON1V FH,12-Apr-11,Not explained,Big4 to Big4,Industrial,401,-0.032,-0.117,-0.383,-0.292,-0.401,0.031,-0.011,-0.113,-0.032,0.144,-0.062,-0.106,-0.27,-0.26,-0.545
Ramirent Oyj (HLSE:RAMI),RAMI FH,07-Apr-11,Tender,Big4 to Big4,"Consumer, Non-cyclical",1431,-0.008,-0.171,-0.561,-0.388,-0.279,0.011,0.002,-0.154,-0.041,0.104,-0.019,-0.172,-0.407,-0.347,-0.383
Stora Enso Oyj (HLSE:STERV),STERV FH,28-Mar-18,Not explained,Big4 to Big4,Basic Materials,12534,0.126,0.142,0.129,-0.245,,0.049,0.039,0.061,0.057,,0.077,0.103,0.068,-0.302,
Tieto Oyj (HLSE:TIETO),TIETO FH,29-Nov-18,Resignation,Big4 to Big4,Technology,2284,-0.082,0.012,0.005,,,-0.06,0.046,0.062,,,-0.023,-0.035,-0.057,,
Wärtsilä Oyj Abp (HLSE:WRT1V),WRT1V FH,07-Mar-17,Not explained,Big4 to Big4,Industrial,8879,0.079,0.116,0.206,0.206,-0.087,0.029,0.065,0.031,0.034,0.075,0.05,0.051,0.175,0.172,-0.162
Wärtsilä Oyj Abp (HLSE:WRT1V),WRT1V FH,21-Jul-10,Not explained,Big4 to Big4,Industrial,4529,0.049,0.302,0.312,0.11,0.4,0.014,0.078,0.138,0.123,0.116,0.035,0.224,0.174,-0.014,0.284
AIB Group plc (ISE:AIBG),AIBG ID,20-Jun-13,Tender,Big4 to Big4,Financial,34122,-0.154,0.385,0.785,0.631,0.354,0.059,0.113,0.142,0.267,0.448,-0.212,0.272,0.642,0.363,-0.094
Bank Of Ireland Group plc (ISE:BIRG),BIRG ID,26-May-17,Tender,Big4 to Big4,Financial,7981,-0.086,-0.048,-0.135,0.027,-0.312,-0.003,-0.038,-0.002,0.032,0.029,-0.083,-0.01,-0.133,-0.005,-0.341
Glanbia plc (ISE:GL9),GLB ID,27-Apr-16,Tender,Big4 to Big4,"Consumer, Non-cyclical",5451,-0.027,0,-0.127,0.063,-0.173,0.014,-0.002,0,0.153,0.182,-0.042,0.002,-0.127,-0.09,-0.355
Permanent TSB Group Holdings plc (ISE:IL0A),IL0A ID,23-May-13,Tender,Big4 to Big4,Financial,1041,-0.143,0.143,0.2,1.657,0.236,-0.075,0.01,0.074,0.161,0.43,-0.068,0.133,0.126,1.496,-0.193
Irish Residential Properties REIT Plc (ISE:IRES),IRES ID,29-May-18,Tender,Big4 to Big4,Financial,753,0.007,0.101,0.063,0.204,,-0.008,0.012,-0.058,0,,0.016,0.089,0.121,0.204,
Irish Residential Properties REIT Plc (ISE:IRES),IRES ID,13-Nov-17,Tender,Big4 to Big4,Financial,648,0.012,-0.028,-0.02,0.028,0.251,0.013,-0.037,0.037,-0.024,0.128,-0.002,0.009,-0.057,0.053,0.123
888 Holdings plc (LSE:888),888 LN,13-May-15,Not explained,Non-Big4 to Big4,"Consumer, Cyclical",765,-0.021,-0.002,-0.004,0.367,1.018,-0.01,-0.013,-0.054,-0.124,0.07,-0.011,0.012,0.049,0.491,0.948
888 Holdings plc (LSE:888),888 LN,11-Jul-14,Not explained,Non-Big4 to Big4,"Consumer, Cyclical",1006,0.056,0.115,0.132,0.404,0.97,-0.021,-0.041,0.011,0.19,0.055,0.077,0.157,0.121,0.214,0.914
Amedeo Air Four Plus Limited (LSE:AA4),AA4 LN,24-Oct-18,Resignation,Big4 to Big4,Industrial,964,0.005,0.024,-0.028,-0.196,,0.004,0.011,0.125,0.167,,0.001,0.013,-0.153,-0.363,
