Ticker,AuditorYears,Auditor,Opinion,ISSscore
SW FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Not audited,1
FR FP Equity,9,MAZARS,Unqualified,1
ELUXB SS Equity,1,DELOITTE,Unqualified,1
URW NA Equity,14,DELOITTE & ASSOC,Unqualified,1
CTEC LN Equity,3,Deloitte LLP,Unqualified,1
WKL NA Equity,#N/A N/A,DELOITTE,Not audited,1
PAH3 GY Equity,35,ERNST & YOUNG,Unqualified,5
EKTAB SS Equity,8,PRICEWATERHOUSE COOPERS,Unqualified,1
HMB SS Equity,25,ERNST & YOUNG AB,Qualified: uncertainty,1
RHM GY Equity,92,PRICEWATERHOUSE COOPERS,Unqualified,1
DEMANT DC Equity,22,DELOITTE,Unqualified,1
TEP FP Equity,8,KPMG,Unqualified,5
SCHA NO Equity,#N/A N/A,ERNST & YOUNG AS,Not audited,1
NG/ LN Equity,2,Deloitte LLP,Unqualified,1
PUM GY Equity,7,DELOITTE,Unqualified,1
TELIA SS Equity,5,DELOITTE,Unqualified,10
RMS FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Not audited,5
TEL NO Equity,#N/A N/A,ERNST & YOUNG AS,Qualified: uncertainty,1
TYRES FH Equity,#N/A N/A,KPMG OY AB,Unqualified,5
ETL FP Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
ELISA FH Equity,15,KPMG OY AB,Unqualified,1
PSM GY Equity,#N/A N/A,KPMG AG,Not audited,1
ITX SQ Equity,#N/A N/A,DELOITTE,Unqualified,1
HUSQB SS Equity,5,ERNST & YOUNG AB,Not audited,1
INF LN Equity,15,Deloitte LLP,Unqualified,9
DEC FP Equity,19,KPMG AUDIT,Not audited,1
SESG FP Equity,#N/A N/A,PWC,Unqualified,1
GSK LN Equity,1,Deloitte LLP,Unqualified,1
TNET BB Equity,#N/A N/A,KPMG,Unqualified,1
IHG LN Equity,16,ERNST & YOUNG LLP,Not audited,1
CCL LN Equity,16,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
ADM LN Equity,3,Deloitte LLP,Unqualified,1
BRBY LN Equity,#N/A N/A,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
FLTR ID Equity,#N/A N/A,KPMG,Unqualified,1
ORNBV FH Equity,1,KPMG,Unqualified,1
CPG LN Equity,5,KPMG LLP,Not audited,1
GLPG NA Equity,19,DELOITTE,Unqualified,1
OSR GY Equity,7,ERNST & YOUNG,Not audited,1
DOM SS Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
ITV LN Equity,15,KPMG LLP,Unqualified,1
ICA SS Equity,2,KPMG,Not audited,1
HIK LN Equity,3,PRICEWATERHOUSE COOPERS,Unqualified,1
AZN LN Equity,2,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
AHT LN Equity,16,Deloitte LLP,Unqualified,1
ABF LN Equity,4,BLANK COMPANY:1634,Unqualified,1
GLB ID Equity,3,Deloitte LLP,Unqualified,1
RMV LN Equity,19,KPMG,Unqualified,1
BBY LN Equity,3,KPMG,Unqualified,1
PNDORA DC Equity,8,ERNST & YOUNG,Unqualified,1
BNZL LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
CPI LN Equity,5,KPMG LLP,Unqualified,1
LUN DC Equity,#N/A N/A,DELOITTE,Unqualified,10
CBG LN Equity,2,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
JE/ LN Equity,10,Deloitte LLP,Unqualified,1
CRDA LN Equity,1,KPMG,Unqualified,1
GALE SE Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
UN01 GY Equity,3,PRICEWATERHOUSE COOPERS,Unqualified,1
BWY LN Equity,40,KPMG LLP,Not audited,1
ECM LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
COB LN Equity,45,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
DGE LN Equity,5,PRICEWATERHOUSECOOPERS LLP,Unqualified,9
HLMA LN Equity,2,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
HSBA LN Equity,4,PRICE WATERHOUSE LLP,Unqualified,10
IMI LN Equity,10,ERNST & YOUNG LLP,Unqualified,1
HSX LN Equity,3,PRICEWATERHOUSE COOPERS,Unqualified,1
UBI FP Equity,#N/A N/A,KPMG,Unqualified,1
MGGT LN Equity,16,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
LIGHT NA Equity,3,ERNST & YOUNG LLP,Unqualified,5
HWDN LN Equity,17,DELOITTE & TOUCHE LLP,Unqualified,1
MRW LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
VOD LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
UU/ LN Equity,8,KPMG LLP,Unqualified,1
BARC LN Equity,2,KPMG LLP,Unqualified,10
RTO LN Equity,10,KPMG LLP,Unqualified,1
RBS LN Equity,3,ERNST & YOUNG LLP,Unqualified,10
FTI FP Equity,2,PRICEWATERHOUSE COOPERS LLP,Unqualified,10
GMAB DC Equity,#N/A N/A,PRICEWATERHOUSECOOPERS,Unqualified,1
UDG LN Equity,2,ERNST & YOUNG,Unqualified,1
SGRO LN Equity,3,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
TATE LN Equity,2,ERNST & YOUNG LLP,Unqualified,1
SBRY LN Equity,4,ERNST & YOUNG LLP,Unqualified,1
JD/ LN Equity,24,KPMG LLP,Unqualified,9
GLE FP Equity,#N/A N/A,ERNST & YOUNG,Not audited,1
EXO IM Equity,8,ERNST & YOUNG SPA,Unqualified,1
SDR LN Equity,1,BLANK COMPANY:1634,Unqualified,1
BKT SQ Equity,#N/A N/A,PWC,Unqualified,1
LDO IM Equity,7,KPMG SPA,Unqualified,5
SMIN LN Equity,23,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
HSV LN Equity,18,Deloitte LLP,Unqualified,1
PNN LN Equity,5,ERNST & YOUNG LLP,Unqualified,1
STAN LN Equity,#N/A N/A,KPMG LLP,Unqualified,10
RSA LN Equity,6,KPMG LLP,Unqualified,1
TSCO LN Equity,4,Deloitte LLP,Unqualified,10
PIRC IM Equity,#N/A N/A,PWC,Unqualified,1
STERV FH Equity,#N/A N/A,PRICEWATERHOUSECOOPERS OY,Unqualified,1
SGE LN Equity,4,ERNST & YOUNG LLP,Unqualified,9
SLA LN Equity,#N/A N/A,KPMG LLP,Unqualified,1
TPK LN Equity,4,KPMG LLP,Not audited,1
SAB SQ Equity,#N/A N/A,PWC,Unqualified,1
LLOY LN Equity,24,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
VWS DC Equity,21,PRICEWATERHOUSE COOPERS,Not audited,1
TLW LN Equity,15,Deloitte LLP,Unqualified,1
DLG LN Equity,19,Deloitte LLP,Not audited,1
RRTL GY Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
ACA FP Equity,#N/A N/A,PRICEWATERHOUSECOOPERS,Unqualified,1
MRO LN Equity,16,Deloitte LLP,Unqualified,1
BAMI IM Equity,#N/A N/A,PWC,Unqualified,1
RBI AV Equity,14,KPMG AG,Unqualified,10
GRG LN Equity,#N/A N/A,KPMG LLP,Unqualified,1
IAG LN Equity,9,ERNST & YOUNG,Unqualified,9
BP/ LN Equity,110,N/A,Unqualified,1
GRF SQ Equity,#N/A N/A,KPMG,Unqualified,1
BT/A LN Equity,1,KPMG LLP,Unqualified,9
VNA GY Equity,#N/A N/A,KPMG AG,Unqualified,1
NN NA Equity,3,KPMG ACCOUNTANTS NV,Unqualified,1
KBX GY Equity,10,KPMG AG,Unqualified,1
AV/ LN Equity,7,PRICEWATERHOUSE COOPERS LLP,Not audited,1
LGEN LN Equity,1,KPMG LLP,Not audited,1
PRU LN Equity,20,KPMG LLP,Not audited,1
ANTO LN Equity,4,PRICEWATERHOUSE COOPERS,Unqualified,1
SXS LN Equity,2,DELOITTE,Unqualified,1
SSE LN Equity,21,KPMG LLP,Unqualified,10
MONC IM Equity,6,KPMG,Unqualified,1
WEIR LN Equity,3,PRICEWATERHOUSE COOPERS,Unqualified,1
OR FP Equity,15,PRICEWATERHOUSE COOPERS,Unqualified,1
DG FP Equity,#N/A N/A,KPMG AUDIT,Unqualified,1
EMSN SE Equity,2,ERNST & YOUNG,Unqualified,5
ATCOA SS Equity,#N/A N/A,DELOITTE,Unqualified,1
VOLVB SS Equity,1,DELOITTE,Unqualified,1
1COV GY Equity,1,KPMG AG,Unqualified,1
BUCN SE Equity,35,PRICEWATERHOUSE COOPERS AG,Unqualified,5
RMG LN Equity,#N/A N/A,KPMG LLP,Unqualified,10
IWG LN Equity,3,KPMG,Unqualified,1
B4B GY Equity,2,KPMG,Unqualified,10
ASML NA Equity,3,KPMG ACCOUNTANTS NV,Unqualified,1
VCT LN Equity,1,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
BALDB SS Equity,#N/A N/A,OHRLINGS PRICEWATERHOUSECOOPEE,Unqualified,#N/A N/A
OERL SE Equity,3,PRICEWATERHOUSE COOPERS AG,Unqualified,1
TEL2B SS Equity,15,DELOITTE,Unqualified,1
DSY FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
AVV LN Equity,17,ERNST & YOUNG LLP,Unqualified,1
SOP FP Equity,#N/A N/A,AUDITEURS ET CONSEILS ASSOCIES,Unqualified,5
ISAT LN Equity,#N/A N/A,Deloitte LLP,Unqualified,1
SAABB SS Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
ANDR AV Equity,#N/A N/A,KPMG AG,Unqualified,1
WDI GY Equity,10,ERNST & YOUNG,Unqualified,10
CNHI IM Equity,5,ERNST & YOUNG LLP,Unqualified,1
LUNDB SS Equity,#N/A N/A,KPMG AB,Unqualified,1
CCH LN Equity,16,PRICEWATERHOUSE COOPERS,Unqualified,1
SRT3 GY Equity,4,KPMG AG,Unqualified,1
EDEN FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
PRY IM Equity,#N/A N/A,ERNST & YOUNG,Not audited,1
AMS SQ Equity,13,DELOITTE,Unqualified,1
CHR DC Equity,9,PRICEWATERHOUSE COOPERS,Qualified: uncertainty,1
HAS LN Equity,4,PRICEWATERHOUSECOOPERS LLP,Unqualified,1
SPX LN Equity,5,Deloitte LLP,Unqualified,1
FPE3 GY Equity,1,PRICEWATERHOUSE COOPERS,Unqualified,1
EQNR NO Equity,7,KPMG,Unqualified,1
ELIS FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
RYA ID Equity,35,KPMG,Unqualified,9
AENA SQ Equity,#N/A N/A,KPMG,Unqualified,1
RDSA NA Equity,3,ERNST & YOUNG LLP,Unqualified,1
WRT1V FH Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
OMV AV Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
SKAB SS Equity,3,ERNST & YOUNG AB,Unqualified,1
UMI BB Equity,26,REVISEURS D'ENTREPRISES,Unqualified,1
DSV DC Equity,2,PRICEWATERHOUSE COOPERS,Unqualified,1
JMT PL Equity,2,ERNST & YOUNG,Unqualified,1
KCR FH Equity,13,ERNST & YOUNG,Unqualified,1
CLNX SQ Equity,#N/A N/A,DELOITTE,Unqualified,1
BBA LN Equity,17,EisnerAmper LLP,Unqualified,1
STMN SE Equity,5,ERNST & YOUNG,Unqualified,1
PRX NA Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,#N/A N/A
NZYMB DC Equity,18,PRICEWATERHOUSE COOPERS,Unqualified,1
TEMN SE Equity,16,PRICEWATERHOUSE COOPERS,Unqualified,1
IGG LN Equity,9,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
KNEBV FH Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
BLND LN Equity,5,BLANK COMPANY:1634,Unqualified,1
DLN LN Equity,5,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
TOM NO Equity,#N/A N/A,KPMG,Unqualified,1
NOVOB DC Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
GPOR LN Equity,17,Deloitte LLP,Unqualified,1
JMAT LN Equity,1,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
HMSO LN Equity,3,PRICEWATERHOUSECOOPERS LLP,Unqualified,9
RB/ LN Equity,19,KPMG LLP,Unqualified,10
RR/ LN Equity,29,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
LAND LN Equity,7,BLANK COMPANY:1634,Unqualified,1
TEG GY Equity,7,KPMG,Unqualified,1
ALFA SS Equity,1,N/A,Unqualified,1
BVI FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,5
ASM NA Equity,#N/A N/A,KPMG,Unqualified,1
ROR LN Equity,5,Deloitte LLP,Unqualified,1
DIM FP Equity,#N/A N/A,KPMG,Unqualified,1
ING FP Equity,6,KPMG AUDIT,Unqualified,1
RUI FP Equity,#N/A N/A,MAZARS,Unqualified,1
HOT GY Equity,12,DELOITTE,Not audited,1
COLR BB Equity,3,ERNST & YOUNG,Unqualified,5
QLT LN Equity,3,KPMG LLP,Unqualified,1
ICAD FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
FI/N SE Equity,7,PRICEWATERHOUSE COOPERS,Unqualified,1
CMBN SE Equity,#N/A N/A,KPMG,Unqualified,1
ARGX BB Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
LISN SE Equity,17,PRICEWATERHOUSE COOPERS AG,Unqualified,1
CNA LN Equity,2,Deloitte LLP,Unqualified,1
CAST SS Equity,2,DELOITTE,Unqualified,1
ERICB SS Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
SKFB SS Equity,#N/A N/A,OHRLINGS PRICEWATERHOUSECOOPEE,Unqualified,1
SAND SS Equity,1,PWC,Unqualified,1
STB NO Equity,#N/A N/A,PRICEWATERHOUSECOOPERS AS,Unqualified,1
LOOMB SS Equity,#N/A N/A,DELOITTE,Unqualified,5
TRELB SS Equity,#N/A N/A,DELOITTE,Unqualified,1
ILD FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
SECUB SS Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
INVEB SS Equity,6,DELOITTE,Unqualified,1
AALB NA Equity,#N/A N/A,BLANK COMPANY:1634,Unqualified,1
CINE LN Equity,#N/A N/A,KPMG LLP,Unqualified,1
ASRNL NA Equity,#N/A N/A,ERNST & YOUNG LLP,Unqualified,1
METSO FH Equity,7,ERNST & YOUNG OY,Unqualified,1
PKO PW Equity,#N/A N/A,KPMG,Unqualified,#N/A N/A
EN FP Equity,#N/A N/A,MAZARS,Unqualified,1
MNG LN Equity,#N/A N/A,KPMG LLP,Unqualified,#N/A N/A
AKZA NA Equity,3,PRICEWATERHOUSECOOPERS,Unqualified,1
ALO FP Equity,10,PRICEWATERHOUSE COOPERS,Unqualified,1
UTDI GY Equity,#N/A N/A,ERNST & YOUNG,Not audited,5
SEBA SS Equity,19,ERNST & YOUNG AB,Unqualified,1
ISS DC Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
SHBA SS Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
NHY NO Equity,9,KPMG,Unqualified,1
BA/ LN Equity,2,Deloitte LLP,Unqualified,1
SRCG SE Equity,4,ERNST & YOUNG,Unqualified,1
HEIA NA Equity,4,DELOITTE,Unqualified,1
DANSKE DC Equity,4,DELOITTE,Qualified: uncertainty,10
SCAB SS Equity,3,ERNST & YOUNG AB,Unqualified,1
NOKIA FH Equity,32,PRICEWATERHOUSE COOPERS,Not audited,1
LOGN SE Equity,5,KPMG LLP,Unqualified,5
ASSAB SS Equity,25,PRICEWATERHOUSECOOPERS,Unqualified,1
SIKA SE Equity,24,ERNST & YOUNG,Unqualified,1
ORP FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,5
DUFN SE Equity,15,ERNST & YOUNG,Unqualified,5
GFS LN Equity,4,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
ABBN SE Equity,1,KPMG AG,Unqualified,1
MNDI LN Equity,2,PRICEWATERHOUSE COOPERS LLP,Unqualified,1
PARG SE Equity,22,DELOITTE,Unqualified,1
ADEN SE Equity,17,ERNST & YOUNG,Unqualified,1
SU FP Equity,#N/A N/A,ERNST & YOUNG,#N/A Field Not Applicable,1
BAER SE Equity,12,KPMG AG,Unqualified,1
HUH1V FH Equity,9,ERNST & YOUNG OY,Not audited,1
ORK NO Equity,#N/A N/A,ERNST & YOUNG AS,Unqualified,1
BALN SE Equity,3,ERNST & YOUNG,Unqualified,5
CFR SE Equity,27,PRICEWATERHOUSE COOPERS,Unqualified,1
NESTE FH Equity,5,PRICEWATERHOUSECOOPERS OY,Unqualified,1
SUBC NO Equity,5,ERNST & YOUNG,Unqualified,1
CLN SE Equity,24,PRICEWATERHOUSE COOPERS,Unqualified,1
KGH PW Equity,#N/A N/A,DELOITTE,Unqualified,#N/A N/A
CSGN SE Equity,29,KPMG,Unqualified,10
KSP ID Equity,8,KPMG,Unqualified,1
HEXAB SS Equity,25,ERNST & YOUNG AB,Unqualified,1
GEBN SE Equity,20,PWC,Unqualified,1
FRA GY Equity,6,PRICEWATERHOUSECOOPERS GMBH,Unqualified,1
GIVN SE Equity,10,DELOITTE,Unqualified,1
PGHN SE Equity,18,KPMG,Unqualified,1
AIR FP Equity,3,ERNST & YOUNG LLP,Unqualified,1
KNIN SE Equity,#N/A N/A,ERNST & YOUNG,Unqualified,1
GET FP Equity,12,KPMG AUDIT,Unqualified,1
LHN SE Equity,#N/A N/A,DELOITTE,Unqualified,1
SMDS LN Equity,14,Deloitte LLP,Unqualified,1
SWEDA SS Equity,25,DELOITTE,Not audited,10
LONN SE Equity,20,KPMG AG,Unqualified,1
FABG SS Equity,17,DELOITTE,Unqualified,#N/A N/A
NESN SE Equity,10,KPMG,Unqualified,1
UPM FH Equity,#N/A N/A,PRICEWATERHOUSECOOPERS OY,Not audited,1
NOVN SE Equity,23,PRICEWATERHOUSE COOPERS,Unqualified,10
ROG SE Equity,10,KPMG AG,Unqualified,1
LR FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,1
SCMN SE Equity,15,KPMG AG,Unqualified,1
SGSN SE Equity,19,DELOITTE,Unqualified,1
ATO FP Equity,26,DELOITTE & ASSOC,Unqualified,1
KINVB SS Equity,6,DELOITTE,Unqualified,1
SLHN SE Equity,17,PWC,Unqualified,1
LEG GY Equity,11,PRICEWATERHOUSECOOPERS GMBH,Unqualified,1
SOON SE Equity,19,PRICEWATERHOUSE COOPERS,Unqualified,1
UCB BB Equity,#N/A N/A,PWC,Unqualified,1
MAERSKB DC Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Not audited,1
SREN SE Equity,8,PRICEWATERHOUSECOOPERS,Unqualified,5
VIFN SE Equity,27,ERNST & YOUNG,Unqualified,5
UBSG SE Equity,21,ERNST & YOUNG,Unqualified,10
ICP LN Equity,24,KPMG LLP,Unqualified,1
UHR SE Equity,27,PRICEWATERHOUSE COOPERS AG,Unqualified,5
ZURN SE Equity,#N/A N/A,PRICEWATERHOUSE COOPERS AG,Unqualified,1
SCHP SE Equity,20,ERNST & YOUNG,Unqualified,1
AKE FP Equity,#N/A N/A,KPMG AUDIT,Unqualified,1
SVT LN Equity,15,Deloitte LLP,Unqualified,1
III LN Equity,47,ERNST & YOUNG LLP,Unqualified,1
RBREW DC Equity,1,KPMG,Unqualified,5
RI FP Equity,#N/A N/A,DELOITTE & ASSOC,Unqualified,1
RCO FP Equity,#N/A N/A,PRICEWATERHOUSE COOPERS,Unqualified,5
COFB BB Equity,#N/A N/A,DELOITEE BEDRIJFSREVISOREN,Unqualified,1
TIT IM Equity,9,PRICEWATERHOUSECOOPERS SPA,Unqualified,9
AMP IM Equity,9,PRICEWATERHOUSECOOPERS SPA,Not audited,1
FHZN SE Equity,1,ERNST & YOUNG,Unqualified,1
HELN SE Equity,14,KPMG,Unqualified,1
PEO PW Equity,#N/A N/A,KPMG,Unqualified,#N/A N/A
GLEN LN Equity,8,Deloitte LLP,Unqualified,10
